content,language
Прыкветкі карацейшыя за кветкі ці роўныя ім.,be
Аднак ніякай істотнай ролі камітэт не згуляў.,be
Аднак праз нейкі час яе мацярынскі інстынкт прыводзіць да адчайных спроб вярнуць дзіцятка.,be
"Акрамя таго, было павялічана выява шчыта.",be
"Лінія ўключае ў сябе футболкі, талстоўкі і рамяні.",be
"Адукацыйна-прафесійная праграма падрыхтоўкі магістра ўключае глыбока фундаментальную, гуманітарную, сацыяльна-эканамічную, псіхолага-педагагічную, спецыяльную і навукова-практычную падрыхтоўку.",be
"Натуральна, цяжкія танкі былі параўнальна нешматлікія.",be
На лбе і пярэдняй частцы шыі маюцца светла-карычневыя плямы.,be
"Адукацыйна-прафесійная праграма падрыхтоўкі магістра ўключае фундаментальную гуманітарную, сацыяльна-эканамічную, псіхолага-педагагічную, спецыяльную і навукова-практычную падрыхтоўку.",be
"Дадзеная расліна вылучае цяпло, якое растоплівае зімой снег вакол яе, што дазваляе яму выжыць.",be
Пачынаецца на заходзе сонца ў пятніцу і працягваецца да захаду сонца наступнага дня.,be
Але на справе многія з іх былі хворымі і параненымі.,be
Гэта тлумачылася цікавасцю мексіканскіх здабытчыкаў металаў да радовішчаў на землях тубыльцаў.,be
"У выпадку парашкоў надзейных метадаў, якія даюць высокую ступень узнаўляльнасці, пакуль не распрацавана.",be
Навуковы сацыялізм вывучае грамадства на аснове матэрыялістычнае разуменне дыялектычнага развіцця гісторыі чалавецтва.,be
"Былы партнёр распавёў, як дрэнна ў замагільным жыцці даводзіцца прагным і бессардэчным людзям.",be
"Воцатная і малочная кіслаты, кухонная соль выкарыстоўваюцца цягам тысячагоддзяў.",be
"Станам на сённяшні дзень парк цалкам забудаваны, захаваліся толькі адзінкавыя дрэвы.",be
"Кветка або зусім не мае прыкветкаў, або з вельмі маленькім прыкветкам.",be
Пасяджэння праводзяцца не радзей за адзін раз на квартал.,be
"Рэльеф раўнінны, на захад мяжуе з лесам.",be
@EeOneGuy вчера ты сказал завтра! #YouTubeRewind,ru
"Развода на деньги нет Наблюдаюсь в Лайфклиник по беременности, развода на деньги нет, врачи не плохие, по поводу ресепшен соглашусь (путают документы).",ru
"Отель выбрали потому что рядом со стадионом. Отель 4*. Номер большой. Кровать 2-спальная одна. 2 одеяла. Много подушек. Есть зона отдыха. Чайный сет. 2 бутылки по 0,5 л бесплатно каждый день. Много шкафов. Мини-бар. Утюг и гладильная доска, отдельно прибор для глажки брюк. Санузел общий большой. Ванна, лейка съемная. 2 раковины, фен. Халаты, тапочки. Расширенный пакет косметических средств, даже соль для ванны. Интернет быстрый. Так как этаж высокий был, вид из окна на город. Один недостаток в номере 919: он напротив хозлифта и с утра начинает пользоваться им персонал для обслуживания завтрака на 9 этаже. Очень слышно звон посуды и разговоры. Завтрак не включен, стоит 23 евро. Рядом с отелем есть кафе и subway.",ru
"Вылечили Гноился с рождения глазик, в поликлинике назначили лечение, не помогло сходили сюда вылечили (офтальмолог Боброва - очень понравилась, все рассказала показала несколько раз как, что правильно делать), также от них приходила массажистка Ольга очень внимательная, профессионал своего дела. Спасибо.",ru
"Хорошее расположение.С вокзала дошли пешком.Ночью очень тихо,хотя центр рядом.Наш номер был в башне.Размер комнаты минимальный,практически как кровать.Такая же ванная,вернее душ.Более,чем скромно.Не особо чисто.Зато дивный вид из окна и хорошее бельё.Завтрак для 4 звёзд очень скромный.Бесплатный wi-fi тормозит.Соотношение цена-качество не в пользу отеля.Цена в два раза ниже будет более адекватной.",ru
"Отличное месторасположение,прекрасный вид,особенно из ресторана.Мы жили в номере с балконом и видом на Ая Софию на верхнем этаже.Номера очень чистые,небольшие,но уютные,есть все необходимое.Персонал-очень приветливый и внимательный.Завтрак-большой ассартимент холодных и горячих закусок.Останавливались уже второй раз в нем.Днем-с 4 до5 в качестве комплимента от отеля-чай со сладостями в холле.Нареканий нет.Соотношение цена-качество очень хорошее.За местоположение 5 с ++",ru
"Номера очень комфортные. Их чистота на высоком уровне. Есть даже кофемашина с капсулами Nespresso. Отличный бассейн и сауна. Кстати, такого большого по-размеру бассейна мы ни в одном отеле не встречали. Хотим пожелать скорейшего завершения реновации отеля.Из минусов: Заселение в этом отеле в 15.00. Мы приехали в 16.30, но наш номер ещё не был готов, и нас попросили подождать 1 час и скоротать время в баре, выдав по талончику на человека на бесплатный напиток. Но, так как с нами был ребёнок, мы провели время ожидания в зоопарке, благо он находится совсем рядом!Кстати, очень опасная и неудобная парковка (особенно зона въезда и выезда)! И дело даже не в том, что водитель должен быть профессионалом, самое главное, иметь маленький автомобиль, ведь судя по стенам и углам парковки, выехать целыми и невредимыми удалось совсем не многим!",ru
Не было. Это пиздеш ТСа.,ru
"Отель расположен очень удобно - практически центр города, рядом большая пересадочная станция - и метро, и электрички в аэропорт. Хотя, по этой же причине вокруг немного шумновато. Зато цены для Парижа вполне адекватные, при том, что гостиница очень приличная.",ru
"Спасибо , Palmira! Останавливаюсь не первый раз! Отличный отель! Прекрасные чистые номера со всем необходимым (халаты,тапочки, зубные щётки, чайник и чашки ). Хороший спа. Бесплатный трансфер до метро каждые 30 минут. Хороший завтрак. Всем рекомендую! Фото номеров на сайте соответствуют реальности.",ru
"Обочина - часть дороги. Такие дела. Про выезд на проезжую часть немного другое. Но, учитывая, что суд, даже верховный, первый раз обвинил обочечника не так давно, пока правы те, кто едут прямо, а тем более, если это велосипедисты с мопедистами.",ru
"Благодарность доктору Давыдовой Татьяне Игоревне Здравствуйте. Хочу поблагодарить доктора Давыдову Татьяну Игоревну. У меня с детства были очень кривые зубы, по этому поводу всегда было много комплексов. В школе начала носить пластинки, но, к сожалению, эффект был нулевой. Консультировалась у нескольких ортодонтов, вердикт был один - удаление четырёх «четвёрок». Очень жаль было расставаться со здоровыми зубами, и я смирилась… Пока на работе не появилась новая коллега с брекетами. Она мне и посоветовала обратиться к Татьяне Игоревне. Я пришла на консультацию, мне тут же сделали панорамный снимок. И ответ: лечение на брекетах без удаления зубов! Моей радости не было предела. Прошло уже 1,5 года, и вчера мне сняли брекеты. Очень довольны результатом я и мои близкие. Большое Вам спасибо!",ru
"Слова благодарности 15.12.2015 г. Лечащий врач Грачев И. И. По окончанию лечения говорю слова благодарности за то, что помогли мне справиться с моей болячкой. Теперь могу опять жить полной жизнью! Огромное спасибо! С уважением, Севостьянов Алексей Александрович.",ru
Очень вкусно готовят и цены приемлемые !  Отзывчивый персонал !!!! Безумно приятная обстановка !!! Так держать !!!! )),ru
"До качественной медицины нам далеко Пробовала прикрепиться по беременности к этой чудной ЖК. Прописка - Москва, муж прописан на ул. Попова (участок Костюк). В регистратуре регистратор отвечает на вопросы по настроению. Может ответить точно и по делу, а может нахамить и мягко говоря - послать. Прикрепиться ни с первого, ни со второго раза не удалось, т. к. заведующая данным леч. учреждением постоянно (со слов регистратора) на совещаниях по род. домам. Так, что не факт, что женщины пришедшие в ее приемные часы, застанут Татьяну Алексеевну на месте, больно занят человек. Есть у нее зам, но он принимает ее полномочия только при уходе заведующей в отпуск. Случайно наш разговор с регистратором услышал предполагаемый участковый врач - Костюк, та подтвердила, что встать на учет по беременности и прикрепиться можно только через ЗАВЕДУЮЩУЮ. Так что, мне сказали, приходите на следующей неделе, и ловите нашу Татьяну Алексеевну. Ну хорошо, что хоть поинтересовались, нет ли у меня в данный момент критической ситуации (острые боли, кровотечения и т. д., связи с чем сделали вывод - могу подождать еще коли уж ждала до этого 2 с лишним месяца, + взять спальный мешок и ждать у кабинета заведующую). Кстати, плоховато и слабовато оснащение - на прием со своим гинекологическим набором, купленным в аптеке (стоит около 70 руб.). Есть информация, что многие, или почти все анализы платны, развод на платные услуги, выписывание врачами определенных лекарств в ""подшефной"" аптеке. Еще производится запись на анализ на определение группы крови. Но видимо, много чего я еще не знаю, а то, что уже знаю - не самое страшное.",ru
"Отдыхали с мамой с 1.01.2018 по 6.01.2018. Очень чистые номера, безупречная работа клининговой службы. Приветливый персонал, всегда готовы помочь и ответить на вопросы. Очень качественные продукты на завтраках, домашняя свежайшая выпечка - настоящий турецкий завтрак. Весь отель пропитан атмосферой Турции, в лобби маленький музей. У отель богатая история, которую можно узнать по фотографиям. Потрясающий вид с террасы ресторана, одна часть на море, а другая на Султан Ахмет и Софию. В пешей доступности весь исторический центр. Был выбор между Хилтоном и этим отелем. Не пожалели. Когда решим еще раз поехать в Стамбул, обязательно остановимся в этом отеле.",ru
"Огромное спасибо хочу сказать Огромное спасибо хочу сказать Горбушину Сергею Александровичу! Была у него на приеме, очень понравилось. Делает все очень аккуратно и совсем не больно. К такому врачу хочется приходить и приходить.",ru
"Большое спасибо Лазаревой Ольге Владимировне Хочу выразить огромную благодарность Лазаревой Ольге Владимировне за ее компетентность, человечность и понимание. Сейчас редко встретишь специалистов, которые добродушно и психологически грамотно ведут прием, что не замечаешь проведенного в кабинете времени, чувствуешь себя расслабленно и уходишь с ответами на все вопросы. Никогда не видела Ольгу Владимировну в дурном настроении, озлобленной или негативной настроенной, как большинство специалистов. Всегда доходчиво объясняет, внимательно относится к переживаниям и всегда с юморком. Прекрасный врач и человек!",ru
"Роды прошли легко Полностью согласна с Ириной. Лежать в патологии там однозначно можно. Чисто, отношение отличное, есть все лекарства, начиная от пустырника и заканчивая дорогостоящими, например актовегин. Ходить и сидеть в очередях нигде не надо, все принесут в палату - и еду, и уколы, и давление мерить. Там можно действительно ЛЕЖАТЬ, т. е. не вставать, и уход будет обеспечен. А вот рожать в этом роддоме это уже под большим вопросом. Разрез промежности делают ВСЕМ. Я сомневаюсь, что 100% рожениц имеют показания к разрезу промежности. Со мной в послеродовом лежала девочка после экстренного кесарева, у нее ребенок не вошел в родовые пути после 8 часов схваток. Так у неё тоже была разрезана промежность. Заранее! Ну и что детки отдельно - это тоже большой минус. Я родила второго сына в августе 2005 г. Роды прошли легко, но тоже порезали и очень сильно. Денег никому не платила, да и не требовал никто.",ru
"Отель нам понравился. Мы отдыхали вдвоем. Хотелось тихого, спокойного, романтичного. Все это было. Плюсы: шикарный вид на море, собственный пляж, всегда свободные шезлонги, отличный ресторан, ежедневная уборка в номерах, персонал неплохо говорил по-английски. Минусы: море (в августе Мармара настолько цветет, что мы смогли поплавать за 10 дней раза 3), в бассейне можно плавать только в шапочках. Из 5 поставила бы твердую 4 и только из-за моря. Отдельное спасибо прекрасной официантке по имени Теа! Удивительная женщина, очень гостеприимная и отзывчивая, она неплохо говорила по-русски и очень часто нам помогала по любым вопросам.",ru
"Хороший отель, 3 бассейна, отличное вид с балкона, шведский стол на завтрак, большие номера с балконом, холодильником и чайником) Данный отель вызывает только хорошие воспоминания! Мало русских, много китайцев и немцев, рядом есть 2 продуктовых магазина.",ru
"Без каких-либо изысков. При бронировании лучше указать в стоимости вай-фай, т.к. с вай-фаем в Берлине беда-печаль: есть он разве что в Старбаксе. Отель находится не в центре, но до центра бодро бегают трамваи. На трамвай лучше садиться с ближней остановки сразу за стоянкой.В номерах чисто, за отдельную плату есть вода в номере, телевидение тоже. В целом - отель хорош, чтобы переночевать, а в остальное время шариться по городу.",ru
"Хотим от себя поблагодарить директора ресторана и весь персонал обслуживающий ресторан !  Мы уже довольно давно ходим к Вам , можно сказать , как в гости , т. к у Вас очень уютно , качественная еда ( причем даже очень качественная ) и что еще больше радует - демократичные цены ( причем более чем демократичные ) , нам есть с чем сравнить и даже по сравнению с суши барами в центре города , которые очень испортились за последнее время , и для того чтобы вкусно поесть нужно переплачивать за "" интерьер "" или название заведения .  Так что мы благодарим Вас за прекрасное заведение !!! Так держать , мы обязательно будем продолжать ходить к Вам и рекомендовать нашим знакомым , как хорошее и проверенное место !  З. Ы. : Нам осталось 75 рублей до 10 % скидки , что не может не радовать ! =)",ru
"Опять хамство Врачи-эндокринологи - неприступная крепость, которую ко всему перекрывает руководство управления здравоохранения. Не раз приходилось за нал. выписывать инсулины, а теперь еще новость - в кабинете 20 пригрозили, что не будут подписывать рецепты без дневника учета сахаров, а вот вопрос, кто дал нам тест-полоски для измерения сахара. Одним словом, врачебный беспредел.",ru
"Неквалифицированные Терапевт из этой поликлиники поставил диагноз - ангина. Назначила пенициллиновый антибиотик. Лучше не становилось в течение 5 дней. Тогда она увеличила дозу антибиотика, хотя симптоматика только ухудшалась - белый налет в горле, лимфоузлы размером с куриное яйцо. Еще через 2 дня меня увезли в больницу на Скорой, практически в бессознательном состоянии. Оказалось, что это никакая не ангина, а мононуклеоз, при котором пенициллиновые антибиотики назначать категорически противопоказано, а тем более в такой лошадиной дозе.",ru
"Отличный результат Моя мама в октябре была в санатории в Гелнджике. Приехала туда с болью в колене, которая периодически ее мучает осенью. Врач в санатории назначила кучу уколов и таблеток. Маме 74 года, к таблеткам относится отрицательно, отказалась от такого лечения. Пошла в центр Бубновского. Как пенсионеру ей предоставили ощутимую скидку. Первый же сеанс снял боль с колена. МРТ ничего серьезного не показало (она у меня крепкая бабулька). Врачи центра восхищались ею. Составили специально для нее комплекс упражнений для профилактики проблем со спиной и суставами. Очень хорошо к ней относились и она осталась довольна. Теперь уговаривает меня обратиться к ним. Скорее всего я так и сделаю.",ru
"Советую присмотреться к ценам Цены ОЧЕНЬ высокие! Сравните с озерками! Да в первой помощи на 30-50% все дороже: например, покупала эспумизан сироп для грудного ребенка осенью он в районе 400 руб., в озерках - 292 руб.! От насморка гомеопатическое масло туи туя-ГФ называется 360 или 390 стоило точную не помню, в озерках-262 руб.! Да на 50% дороже! Больше туда не хожу - аптека для людей, у кого деньги карман оттягивают! И Вам советую при смотреться к ценам этой аптеки!",ru
"Впечатления просто ужасные Только вернулась из этого роддома. Лежала там на сохранении, в отделении гинекологии. Нахожусь от роддома, в шоке. Лежала 2 недели, за это время, состояние только ухудшилось. Положили с токсикозом, убежала оттуда с жуткой угрозой выкидыша. Врачи не лечат, мед. сестры даже капельницу нормально поставить не могут. Лежала с женщиной, которой вечером сказали, что у нее процесс пошел и ночью будет выкидыш, ее положили к нам в палату и подключили к аппарату, она всю ночь на наших глазах мучилась, звала мед. сестру, просила помощи, бестолку, даже от аппарата не отключили. К утру, у нее случился выкидыш, на 4 месяцах беременности и ее забрали на чистку. Также в палату положили женщину с инфекцией, вывели ее за дверь, сообщили о ее инфекции и сказали, ничего, никому не рассказывать. В общем, впечатления просто ужасные!",ru
"Останавливались на Ката Ной на одну ночь перед выходом на морскую прогулку из Чалонга.Возможно, не успели прочувствовать атмосферу пляжа Ката Ной и отеля.Во-первых, было очень неприятно обнаружить ложь сотрудников службы приема о наличии определенных категорий номеров. По наличию ориентировались на информацию, переданную отелем на Букинг.ком, но информация была искаженной. Нас интересовал семейный номер, наличие которого подтверждалось онлайн брокером, но в отеле были свободны номера только категории Делюкс в дальнем корпусе (самые непрезентабельные).В номере:1) Запах затхлости и сырости;2) Грязно (пол под софой был не мыт очень и очень давно, с жуткими пятнами от какой-то еды и следами ржавчины);3) Старая мебель из покрашеного ОСД (странно для 5* отеля);4) Шумный кондиционер;5) Неприятный запах от подушек.Сам курорт Ката Ной так же оставил неприятное впечатление - вдоль дорог сильный запах канализации. Он также ощущается, когда находишься в кафе ((Север Пхукета, а точнее Лагуна, оставил более приятное впечатление.",ru
"а то что он не пытался завладеть ее имуществом, существенно?",ru
"Спасибо маммологу Надеждиной Алле Геннадьевне Ребенку было 12 дней. Покраснела грудь, температура 39. Посоветовали врача Надеждину А. Г. ОЧЕНЬ ВНИМАТЕЛЬНЫЙ И ВЫСОКОПРОФИЛЬНЫЙ врач. Все выяснила, сделала УЗИ и расцеживала около часа. Назначила лечение. Сейчас малышу 2 мес., кормлю без проблем. Спасибо большое Алле Геннадьевне.",ru
"Очень нравился ресторан , довольно часто там бывал – считал одним из лучших узбекских ресторанов .  В субботу приехал с женой пообедать – и разочаровался .  В зале никто не встретил сели сами , подошли принесли меню , оно обновилось .  Подождали минут 10 пока снова подошла официантка , сделали заказ .  Привычный чай в чайнике принесли еще минут через десять , дальше салат цезарь ( согласен странный выбор для узбекского ресторана , так что оценивать не буду ) , салат Ош ( маленькая горка овощей в кефире , вкус никакой ) , Айран ( в винном бокале со льдом и трубочкой , удивило , да и на вкус никакой ) , тарелка зелени ( Букет зелени , как это в Наврузе называется , просто стыдно – укроп , петрушка , лист салата – И все ! , просто жесть за 120 рублей ) шашлык из ягнятины в баклажане ( ну начнем , что ягнятиной и не пахнет , баран умер почетным стариком , баклажан пережарен откровенно ) , шашлык из ягнятины простой ( опять же баранина , плюс две реальные жвачки из 5 кусков – ужас ) .  Аджику забыли принести , напоминал .  Раньше была классическая острая , теперь баклажанную икру напоминает .  Лепешка единственное светлое пятно за обед .  Как вывод кухня здорово испортилась .  Персонал в зал не смотрит , шашлык несли минут сорок ( правда в меню так и написано ) , посуду со стола не убирали , сами тарелки на столе разные .  Жалко но для меня это место теперь закрыто .",ru
"Отель нормальный, особенно порадовала цена) Номера чистые, просторные, с удобными кроватями. Бесплатный вай-фай хоть и не очень уверенно, но все же дотягивал до номера. Минусы - в стандартном номере нет холодильника. Расположение не самое удачное - рядом ни супермаркета, ни ресторана нормального, только пара палаток с шаурмой. До трамвая пешком тоже надо пройтись, остановка не прямо у дверей. В принципе, на пару дней нормально, если дольше, лучше выбрать другой район.",ru
"Отель Axel Hotel находится в 3 минутах ходьбы от ст. метро Университет и в 7 минутах от ""квартала раздора"", где собрались архитектурные творения лучших зодчих Барселоны (Гауди, Пуч-и-Кадафалк). Месторасположение очень удобное для пешеходных прогулок и поездок на метро. У нас был двухместный номер, с большой душевой кабиной, отдельным туалетом, большой стойкой с полками, на которой мы разложили свои вещи. В номере есть столик для работы с компьютером, много розеток, и отдельная подсветка различных частей номера (душа, туалета, прихожей).В номере 2 окна: первое из прихожей - выходит на большой внутренний двор, второе окно находится в номере - выходит на противоположную стену отеля (стена тоже с окнами), поэтому оно всегда закрыто большой и тёмной шторой, это немного непривычно.  Номер убирали ежедневно, меняли полотенца, добавляли гигиенические принадлежности, убирали мусор. В шкафчике лежал фен.Наш номер находился на 5 этаже, в отеле есть удобный лифт.Утром - завтрак-шведский стол: омлет, сосиски, мясная нарезка, сыр. Много сладких булочек. Из овощей, к сожалению, были только томаты, которые быстро разбирались.Чай-кофе-соки и достаточно арбуза, дыни и ананаса. Работники рецепции вежливы, объясняют на английском и испанском. Мы в день отъезда оставляли в камере хранения отеля чемоданы, что удобно. И из отеля заказывали такси. Не знаю, был ли платный Wi-Fi в номере, но каналы ТВ были платными. Мы возвращались поздно и сил ни на интернет, ни на телевидение не хватало.В номере есть сейф и холодильник.На 1 этаже отеля был бар с музыкой, но т.к. мы жили на 5 этаже, то шума не слышали. Отель оставил хорошее мнение о себе, рекомендуем его другим!",ru
"В очередной раз откушали в этом заведении и снова все понравилось .  Спасибо коллективу за душевность , оперативность и вкусность блюд .",ru
"Приезжал в командировку, отель понравился, замечательное обслуживание, внимательные девочки на ресепшн, В номерах очень чисто, уютно. Завтрак - обыный шведский стол, но все вполне на уровне. Когда еще приеду обязательно остановлюсь в этом отеле.",ru
"Детская поликлиника Хочу выразить огромную благодарность врачу-педиатру детской поликлиники Соловьевой Ольге Анатольевне и ее помощнице - медицинской сестре Шнаревой Марине Викторовне. Спасибо Вам за вашу доброту, сердечность и чуткое отношение к нашим детям. Несмотря на то, что территориально моя семья относится к другому участку, именно эти люди неоднократно шли навстречу и оказывали помощь. Спасибо!",ru
"Благодарность 18-му участку Более 15-ти лет наблюдаемся на этом участке. Огромное спасибо мед. сестре Ирине Григорьевне, врачу Ширинёвой В. В. и её достойной смене - врачу Мосоловой Л. А. Замечательное, доброе отношение. И хотелось бы отметить весь коллектив п-ки. Мы довольны, спасибо. А, что касается очередей, так ведь население то, прибавилось.",ru
"Так вот, значит, про ЛуАЗ. Пишу ""от нечего делать"", ибо достоинства его и так все знают, а про недостатки принято молчать т.к. достоинства перекрывают (для понимающих).Купил я комфортную иномарку, а живу в не то чтоб в деревне, но сельской местности. Иногда рыбак и не охотник (который с ружжом). Радовался комфортной иномарке, но перманентный ремонт-стройка требовали наличия авто для хозяйственных нужд. О ЛуАЗе и не думал. Москвичи смотрел, копейки-шестерки всякие. На сего зверюгу попал случайно, и загорелся, и зачесалось... Купил, пригнал, сбил столб своего забора, ибо тормозов не было. С тормозами, кстати, загадочные вещи происходят, (все причастные подтвеждают) пропадают без видимых причин постоянно. Но тут причины были видимые и всё благополучно было отремонтировано.Ремонтировано за три года было много, но никогда не возникало у меня мысли продать его. Экспуатирую своего зверя нещадно. Вожу сколько влезет, плюс прицеп. Грязь, снег и прочие непогоды мне стали в радость! Внедорожник в правильном смысле этого слова! Да трясёт, да гремит, да мощности движка не всегда хватает, да холодно зимой, а летом жарко! НО! ДА ПРОЕДЕТ! И этим всё сказано. А может не только этим. Кто купил ЛуАЗ подтвердит, наверное. Прикипаешь к нему что-ли. Радости от владения сим чудом техники - вагон, мож я больной на голову, но оно так. Особенности конструкции позволяют применять инженерную фантазию (если она есть) ко всему. Кстати, ближайший родственник луцкого монстра по конструкции, амерский Хаммер, который HMMWV M998 (High Mobility Multipurpose Wheeled Vehicle).Советы тем, кто собирается брать ЛуАЗ:",ru
"Я довольна работой поликлиники Спасибо врачу Олофинской и всем работникам поликлиники! Я довольна работой специалистов, работой регистратуры! Всегда ответят на интересующие меня вопросы. Спасибо Вам всем.",ru
"Очень приятное место , небольшое кафе с грузинской кухней , очень вкусно и сытно , домашнее вино и сациви супер ! чувствуешь , что тебе рады , хорошее место посидеть небольшой компанией или вдвоем .",ru
"Не могла не оставить комментарий о Jumeirah Beach Hotel.Это потрясающий отель,с великолепным видом на Персидский залив.Ты просыпаешься,идешь на балкон,а море приветствует тебя своим раскошным, лазурно-голубым цветом.Иногда оно тихое и смиренное,а иногда,шум его раскошных волн напоминает нам,о его игривом настроении:))О!Это так прекрасно порезвиться в его волнах!!  Все очень понравилась!Отдых был просто потрясный!!Впечатления найлучшие!Отель замечательный,уборка дважды в день.Персонал отеля-просто молодцы!Еда превосходная!Все,что заказывается в номер,подается без задержки и на высшем уровне.А морееееееее!!!Что тут говорить,надо просто там побывать:))Дубай неописуемо красив!При первой же возможности,посетим снова.",ru
"Выслушают и посоветуют Круглосуточно работает это большой плюс, ассортимент неплохой, продавцы внимательно выслушают и посоветуют то, что надо, это очень нравится.",ru
"Вкусные завтраки! Большой плюс, что тренажерный зал работает круглосуточно. Очень понравилась косметика в спа, теперь хочу купить такую. Спа-зона разделена на мужскую и женскую. С бассейном было бы идеально. Отзывчивый персонал. Пожелания при заселении были учтены. Все понравилось!",ru
